ICMAM - Ei 2017	2017 4th International Conference on Mechatronics, Automation and Manufacturing (ICMAM 2017)--EI Compendex, Scopus	Phuket, Thailand
BigDF 2017	IEEE International Workshop on Foundations of Big Data Computing	Jaipur, India
ICMMM - EI 2017	2017 4th International Conference on Mechanical, Materials and Manufacturing (ICMMM 2017)--Ei Compendex, CPCI and Scopus	Atlanta, USA
DSHCM  2017	Final Call for Papers - The 1st International Workshop on Data Science for Human Capital Management (collocated with IEEE ICDM'17)	New Orleans, USA
MIKE 2017	Mining Intelligence and Knowledge Exploration, The Fifth International Conference	Hyderabad, India
ICCBB - Ei 2017	2017 International Conference on Computational Biology and Bioinformatics (ICCBB 2017)--Ei Compendex, Scopus and CPCI	Harrison, USA
IREHI 2017	International Rural and Elderly Health Informatics Conference 	Lome, Africa
IS 2017	International Conference "Interactive Systems: Problems of Human-Computer Interaction"	Ulyanovsk, Russia
MECN 2017	3rd International Conference on Mechanical Engineering 	Dubai, UAE
SoDeLIA 2017	Special Session on Deep Learning and Its Applications	Bandar Seri Begawan, Brunei
ACML 2017	The 9th Asian Conference on Machine Learning	Seoul, South Korea
ACML  2017	The 9th Asian Conference on Machine Learning	Seoul, South Korea
ICICT 2017	CFP - The IEEE International Conference ICICT at India	Coimbatore, India
FICC 2018	The FICC 2018 at Singapore, Paper Submission Due: August 1st 2017	Singapore
HPGDML 2017	High Performance Graph Data Mining and Machine Learning Workshop	New Orleans, USA
ICPRAM 2018	7th International Conference on Pattern Recognition Applications and Methods	Funchal, Portugal
VISAPP 2018	International Conference on Computer Vision Theory and Applications	Funchal, Portugal
BAFI 2018	Business Analytics in Finance and Industry	Santiago, Chile
SCDS 2017	3rd International Conference on Soft Computing in Data Science	Yogyakarta, Indonesia
EEML 2017	Fourth International Workshop on Experimental Economics and Machine Learning	Dresden, Germany
K-CAP 2017	The Ninth International Conference on Knowledge Capture	Austin, USA
DARE 2017	ECML PKDD 2017, 5th International Workshop on Data Analytics for Renewable Energy Integration	Skopje, Macedonia
MVR3D 2017	ICCV Workshop on Multiview Relationships in 3D Data	Venice, Italy
ADMA 2017	The 13th International Conference on Advanced Data Mining and Applications	Singapore
GCAI  2017	The 3rd Global Conference on Artificial Intelligence (GCAI 2017), Miami, USA, 18-22 October 2017	Miami, USA
ICRCA - Ei 2017	2017 The 2nd International Conference on Robotics, Control and Automation (ICRCA 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
AutoML 2017	Automatic Machine Learning Workshop (ICML 2017)	Sydney, Australia
IEEE SSCI 2017	2017 IEEE Symposium Series on Computational Intelligence	Hawaii, USA
KDD 2017	Networking with Experts - Call for Proposals	Halifax, Canada
ICRMV - Ei 2017	2017 The 2nd International Conference on Robotics and Machine Vision (ICRMV 2017)--Ei Compendex and Scopus	Kitakyushu, Japan
IPTA 2017	International Conference on Image Processing Theory, Tools and Applications	Montreal, Canada
LIDTA 2017	1st International Workshop on Learning with Imbalanced Domains: Theory and Applications	Skopje, Macedonia
PAPIs 2017	4th International Conference on Predictive Applications and APIs	Boston, USA
